LocalOferta;DescLocalOferta;HoraIniDisciplina;HoraFimDisciplina;DiaDisciplina;NomeDisciplina;TurmaDisciplina;TurnoDisciplina;VagasOfertadas;VagasOcupadas;SexoDisciplina;HorarioFixo;DisciplinaParaCalouro;DisciplinaExclusiva;VagasOfertadasCalouros;VagasOcupadaCalouros
ICC AT 114/18  ;SALA DE AULA ICC AT 114/18                        ;08:00;11:40;Sexta;BOVINOCULTURA DE LEITE                                                ;A ;Diurno;40;20;Ambos;0;0;1;0;0
NULL;NULL;08:00;11:40;Quinta;BOVINOCULTURA DE LEITE                                                ;B ;Diurno;40;22;Ambos;0;0;0;NULL;0
AREA ESTAG     ;AREA ESTAG                                        ;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;A ;Diurno;0;0;Ambos;0;0;0;NULL;0
AREA ESTAG     ;AREA ESTAG                                        ;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;A ;Diurno;0;0;Ambos;0;0;0;NULL;0
AREA ESTAG     ;AREA ESTAG                                        ;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;A ;Diurno;0;0;Ambos;0;0;0;NULL;0
AREA ESTAG     ;AREA ESTAG                                        ;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;AA;Ambos;0;0;Ambos;0;0;0;NULL;0
AREA ESTAG     ;AREA ESTAG                                        ;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;AA;Ambos;0;0;Ambos;0;0;0;NULL;0
AREA ESTAG     ;AREA ESTAG                                        ;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;AA;Ambos;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;B ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;B ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;B ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;BB;Ambos;0;0;Ambos;0;0;0;0;0
NULL;NULL;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;BB;Ambos;0;0;Ambos;0;0;0;0;0
NULL;NULL;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;BB;Ambos;0;0;Ambos;0;0;0;0;0
NULL;NULL;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;C ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;C ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;C ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;CC;Diurno;0;0;Ambos;0;0;0;0;0
NULL;NULL;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;CC;Diurno;0;0;Ambos;0;0;0;0;0
NULL;NULL;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;CC;Diurno;0;0;Ambos;0;0;0;0;0
NULL;NULL;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;D ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;D ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;D ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;DD;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;DD;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;DD;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;E ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;E ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;E ;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;EE;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;EE;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;EE;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;FF;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;FF;Diurno;0;0;Ambos;0;0;0;NULL;0
NULL;NULL;12:00;13:50;Sexta;ESTAGIO SUPERVISIONADO                                                ;FF;Diurno;0;0;Ambos;0;0;0;NULL;0
AREA ESTAG     ;AREA ESTAG                                        ;12:00;13:50;Segunda;ESTAGIO SUPERVISIONADO                                                ;G ;Diurno;0;0;Ambos;0;0;0;NULL;0
AREA ESTAG     ;AREA ESTAG                                        ;12:00;13:50;Quarta;ESTAGIO SUPERVISIONADO                                                ;G ;Diurno;0;0;Ambos;0;0;0;NULL;0
